key,text
ui.hud.event.core.sanguo.city.toll.paid.title,过路费已支付
ui.hud.event.core.sanguo.city.toll.paid.summary,城市过路费已支付
ui.hud.event.core.sanguo.city.toll.paid.detail.game_id,游戏
ui.hud.event.core.sanguo.city.toll.paid.detail.turn,回合
ui.hud.event.core.sanguo.city.toll.paid.detail.city_id,城市
ui.hud.event.core.sanguo.city.toll.paid.detail.payer_id,付款方
ui.hud.event.core.sanguo.city.toll.paid.detail.owner_id,拥有者
ui.hud.event.core.sanguo.city.toll.paid.detail.applied_multipliers,应用倍率
ui.hud.event.core.sanguo.city.toll.paid.delta.money_delta,金钱变化
ui.hud.event.core.sanguo.city.toll.paid.delta.treasury_delta,国库变化
ui.hud.event.core.sanguo.economy.month.settled.title,月度结算完成
ui.hud.event.core.sanguo.economy.month.settled.summary,月度结算完成
ui.hud.event.core.sanguo.economy.month.settled.detail.game_id,游戏
ui.hud.event.core.sanguo.economy.month.settled.detail.turn,回合
ui.hud.event.core.sanguo.economy.month.settled.detail.year,年
ui.hud.event.core.sanguo.economy.month.settled.detail.month,月
ui.hud.event.core.sanguo.economy.month.settled.detail.player_settlements_count,结算玩家数
ui.hud.event.core.sanguo.economy.month.settled.detail.applied_multipliers,应用倍率
ui.hud.event.core.sanguo.economy.month.settled.delta.money_delta,金钱变化
ui.hud.event.core.sanguo.board.token.moved.title,棋子移动
ui.hud.event.core.sanguo.board.token.moved.summary,棋子移动
ui.hud.event.core.sanguo.board.token.moved.detail.game_id,游戏
ui.hud.event.core.sanguo.board.token.moved.detail.player_id,玩家
ui.hud.event.core.sanguo.board.token.moved.detail.steps,步数
ui.hud.event.core.sanguo.board.token.moved.detail.passed_start,是否过起点
ui.hud.event.core.sanguo.board.token.moved.detail.from_index,起点索引
ui.hud.event.core.sanguo.board.token.moved.detail.to_index,终点索引
ui.hud.event.core.sanguo.board.token.moved.detail.from_tile,起点地块
ui.hud.event.core.sanguo.board.token.moved.detail.to_tile,终点地块
ui.hud.event.core.sanguo.random_event.applied.title,随机事件已应用
ui.hud.event.core.sanguo.random_event.applied.summary,随机事件已应用
ui.hud.event.core.sanguo.random_event.applied.detail.game_id,游戏
ui.hud.event.core.sanguo.random_event.applied.detail.player_id,玩家
ui.hud.event.core.sanguo.random_event.applied.detail.event_id,事件编号
ui.hud.event.core.sanguo.random_event.applied.detail.picked_id,选中编号
ui.hud.event.core.sanguo.random_event.applied.detail.effect_kind,效果类型
ui.hud.event.core.sanguo.random_event.applied.detail.encounter_id,遭遇编号
ui.hud.event.core.sanguo.random_event.applied.detail.encounter_target,遭遇目标
ui.hud.event.core.sanguo.random_event.applied.detail.applied_multipliers,应用倍率
ui.hud.event.core.sanguo.random_event.applied.delta.money_delta,金钱变化
ui.hud.event.core.sanguo.random_event.applied.delta.step_delta,步数变化
ui.hud.event.core.sanguo.game.ended.title,游戏结束
ui.hud.event.core.sanguo.game.ended.summary,游戏结束
ui.hud.event.core.sanguo.game.ended.detail.game_id,游戏
ui.hud.event.core.sanguo.game.ended.detail.end_reason,结束原因
ui.hud.event.core.sanguo.game.ended.detail.winner_player_id,胜者玩家
